"Date","Produit","Magasin","Promotion","Prix_Unitaire","Quantité_Vendue"
2022-04-17,"Pain","Magasin_1","Non",0.99,125
2022-04-17,"Pain","Magasin_2","Non",0.99,157
2022-04-17,"Pain","Magasin_3","Oui",0.78,225
2022-04-17,"Pain","Magasin_4","Non",0.99,183
2022-04-17,"Pain","Magasin_5","Non",0.99,88
2022-04-17,"Pain","Magasin_6","Non",0.99,62
2022-04-17,"Lait","Magasin_1","Non",0.99,79
2022-04-17,"Lait","Magasin_2","Non",0.99,120
2022-04-17,"Lait","Magasin_3","Non",0.87,100
2022-04-17,"Lait","Magasin_4","Non",0.99,161
2022-04-17,"Lait","Magasin_5","Non",0.99,77
2022-04-17,"Lait","Magasin_6","Non",0.87,174
2022-04-17,"Beurre","Magasin_1","Oui",1.49,61
2022-04-17,"Beurre","Magasin_2","Non",2.61,164
2022-04-17,"Beurre","Magasin_3","Non",2.49,88
2022-04-17,"Beurre","Magasin_4","Non",2.49,139
2022-04-17,"Beurre","Magasin_5","Non",2.45,69
2022-04-17,"Beurre","Magasin_6","Non",2.45,89
2022-04-17,"Yaourt","Magasin_1","Non",0.99,101
2022-04-17,"Yaourt","Magasin_2","Oui",0.76,128
2022-04-17,"Yaourt","Magasin_3","Non",1.25,33
2022-04-17,"Yaourt","Magasin_4","Non",1.24,93
2022-04-17,"Yaourt","Magasin_5","Non",0.99,118
2022-04-17,"Yaourt","Magasin_6","Non",0.99,49
2022-04-17,"Riz","Magasin_1","Non",1.57,73
2022-04-17,"Riz","Magasin_2","Non",0.49,77
2022-04-17,"Riz","Magasin_3","Non",0.49,156
2022-04-17,"Riz","Magasin_4","Non",0.49,45
2022-04-17,"Riz","Magasin_5","Non",0.49,NA
2022-04-17,"Riz","Magasin_6","Non",1.49,82
2022-04-17,"Pâtes","Magasin_1","Non",0.49,159
2022-04-17,"Pâtes","Magasin_2","Non",0.49,164
2022-04-17,"Pâtes","Magasin_3","Non",0.49,53
2022-04-17,"Pâtes","Magasin_4","Non",0.99,110
2022-04-17,"Pâtes","Magasin_5","Non",1.34,36
2022-04-17,"Pâtes","Magasin_6","Non",0.49,155
2022-04-17,"Poulet","Magasin_1","Non",7.49,125
2022-04-17,"Poulet","Magasin_2","Non",8.33,89
2022-04-17,"Poulet","Magasin_3","Non",7.8,71
2022-04-17,"Poulet","Magasin_4","Non",7.49,43
2022-04-17,"Poulet","Magasin_5","Oui",6.7,214
2022-04-17,"Poulet","Magasin_6","Oui",6.63,198
2022-04-17,"Bœuf","Magasin_1","Non",11.49,152
2022-04-17,"Bœuf","Magasin_2","Non",11.49,106
2022-04-17,"Bœuf","Magasin_3","Non",11.99,29
