"date","magasin","masse_salariale","depenses_fonctionnement","chiffre_affaires","budget_publicite"
2022-04-17,"Magasin_1",1903.07,2884.91,7861.644,73.99
2022-04-17,"Magasin_2",2102.16,2746.63,5762.236,34.36
2022-04-17,"Magasin_3",2102.16,1696.15,4953.21,23.83
2022-04-17,"Magasin_4",1777.77,2077.28,5477.646,8.7
2022-04-17,"Magasin_5",1823.83,2568.71,8243.884,50.69
2022-04-17,"Magasin_6",1993.46,2094.29,6427.171,42.74
2022-04-18,"Magasin_1",2008.2,2360.33,7471.989,55.05
2022-04-18,"Magasin_2",1808.53,2426.6,6759.506,18.88
2022-04-18,"Magasin_3",1740.8,2230.82,4026.645,96.3
2022-04-18,"Magasin_4",1945.33,2850.2,3885.117,31.26
2022-04-18,"Magasin_5",1827.23,1787.32,4328.258,67.29
2022-04-18,"Magasin_6",2009.85,1902.27,6790.254,88.56
2022-04-19,"Magasin_1",1954.78,1096.69,5521.962,35.11
2022-04-19,"Magasin_2",1692.85,2068.76,6261.151,69.48
2022-04-19,"Magasin_3",1719.52,1430.8,3747.273,66.72
2022-04-19,"Magasin_4",1931.76,1281.04,6449.332,31.48
2022-04-19,"Magasin_5",1735.23,1794.28,6122.92,39.45
2022-04-19,"Magasin_6",1765.2,1240.21,7259.77,53.66
2022-04-20,"Magasin_1",1976.38,2734.46,6910.104,31.53
2022-04-20,"Magasin_2",1927.77,2657.72,5259.752,36.18
2022-04-20,"Magasin_3",1829.43,1034.9,4564.614,21.87
2022-04-20,"Magasin_4",1979.26,2503.02,5917.262,40.05
2022-04-20,"Magasin_5",1934.17,1968.14,4977.028,37.68
2022-04-20,"Magasin_6",1880.05,2301.1,6706.407,9.92
2022-04-21,"Magasin_1",2102.16,1941,6310.046,65.25
2022-04-21,"Magasin_2",1668.93,2519.58,6953.965,17.04
2022-04-21,"Magasin_3",1709.61,2885.66,6101.274,97.82
2022-04-21,"Magasin_4",2102.16,1154.49,3940.528,41.47
2022-04-21,"Magasin_5",1999.44,2270.38,6318.166,3.24
2022-04-21,"Magasin_6",1929.46,2390.4,5763.422,56.78
2022-04-22,"Magasin_1",1797.84,1965.51,6229.442,81.15
2022-04-22,"Magasin_2",1947.97,1799.63,6709.268,92.58
2022-04-22,"Magasin_3",1857.65,1822.99,6213.977,80.25
2022-04-22,"Magasin_4",2102.16,1452.05,5715.348,51.82
2022-04-22,"Magasin_5",1844.41,2660.07,6770.006,98.72
2022-04-22,"Magasin_6",1894.58,1887.39,7443.186,16.57
2022-04-23,"Magasin_1",2004.05,2903.45,6689.057,46.37
2022-04-23,"Magasin_2",1912.52,2615.27,5966.111,14.9
2022-04-23,"Magasin_3",2023.88,2678.62,5526.13,17.18
2022-04-23,"Magasin_4",1705.48,1140.09,4956.212,10.3
2022-04-23,"Magasin_5",1893.29,2787.82,7181.242,3.19
2022-04-23,"Magasin_6",1968.21,2118.74,6341.567,92.19
2022-04-24,"Magasin_1",1803.71,1064.09,7731.787,47.85
2022-04-24,"Magasin_2",1768.78,1653.58,4804.097,15.83
2022-04-24,"Magasin_3",1962.42,2330.57,6300.57,47.09
2022-04-24,"Magasin_4",1915.74,1988.34,6095.295,84.31
2022-04-24,"Magasin_5",2102.16,2807.97,8275.827,17.8
2022-04-24,"Magasin_6",2102.16,2015.34,7520.834,85.63
2022-04-25,"Magasin_1",1902.2,2973.04,7624.05,45.08
2022-04-25,"Magasin_2",1695.23,2696.49,5405.882,71.23
2022-04-25,"Magasin_3",1945.68,1659.74,4764.094,24.77
2022-04-25,"Magasin_4",1996.75,1716.63,5123.869,69.22
2022-04-25,"Magasin_5",1788.81,1110.1,6473.98,84.7
2022-04-25,"Magasin_6",1712.28,1473.09,5282.188,55.66
2022-04-26,"Magasin_1",1699.73,1627.96,5307.641,57.5
2022-04-26,"Magasin_2",1690.74,2637.48,5396.581,99.86
2022-04-26,"Magasin_3",1744.09,1131.02,4177.692,69.18
2022-04-26,"Magasin_4",1830.96,2691.2,5270.477,70.98
2022-04-26,"Magasin_5",2056.5,1220.92,4461.099,2.68
2022-04-26,"Magasin_6",1731.12,1482.11,5519.706,76.74
2022-04-27,"Magasin_1",1924.5,2143.75,7047.206,87.71
2022-04-27,"Magasin_2",1756.48,1594.99,6922.341,40.54
2022-04-27,"Magasin_3",1765.79,2688.65,4537.792,15.99
2022-04-27,"Magasin_4",2102.16,1462.02,5971.75,96.32
2022-04-27,"Magasin_5",2102.16,1808.24,5579.604,18.84
2022-04-27,"Magasin_6",2102.16,2800.94,8038.729,26.03
2022-04-28,"Magasin_1",2068.72,2074.64,4281.378,9.76
2022-04-28,"Magasin_2",2050.03,2467.26,4322.831,0.72
2022-04-28,"Magasin_3",1774.54,2693.2,3685.871,16.55
2022-04-28,"Magasin_4",2102.16,2026.1,6773.137,54.29
2022-04-28,"Magasin_5",2014.83,1897.03,5075.752,21.84
2022-04-28,"Magasin_6",2102.16,1592.37,7402.704,36.54
2022-04-29,"Magasin_1",1713.61,1755.47,4746.602,4.81
2022-04-29,"Magasin_2",1759.11,2602.59,4531.379,97.95
2022-04-29,"Magasin_3",1774.84,2357.36,3822.717,69.15
2022-04-29,"Magasin_4",1726.38,1060.88,4060.503,16.94
